일자,종목,거래대금,시가,고가,저가,종가,순서,시가대비저점,시가베팅,result,pnl
2025-11-13,에이비엘바이오,16517,-0.92,19.57,-4.65,6.61,-0.037654320987654324,-0.037654320987654324,10,TP_ONLY,0.13
2025-05-08,에이피알,9264,1.61,6.14,-1.81,4.37,-0.03369672943508424,-0.03369672943508424,10,NONE,0.0437
2025-08-05,대한조선,9111,1.45,8.67,-3.76,2.89,시고저종,-0.05982905982905983,-5,NONE,0.028900000000000002
2025-02-24,위너스,8413,1.18,15.88,-22.79,-22.79,-0.08139534883720931,-0.08139534883720931,-5,TP_ONLY,0.13
2025-06-30,sk이노베이션,8206,-0.08,1.49,-8.03,0.08,시고저종,-0.07952755905511812,-5,SL_ONLY,-0.05
2025-11-04,노타,7994,6.95,29.78,5.46,29.78,-0.013921113689095127,-0.013921113689095127,10,TP_ONLY,0.13
2025-11-05,노타,7675,13.77,24.86,-13.29,-4.88,시고저종,-0.04201680672268908,-5,TP_FIRST,0.13
2025-06-23,SK이터닉스,7333,2.79,6.62,-2.61,1.42,시고저종,손절,-5,NONE,0.014199999999999999
2025-02-13,한화비전,7157,-2.57,0.18,-14.25,-11.21,시고저종,손절,-5,SL_ONLY,-0.05
2025-10-28,두산퓨얼셀,6696,-0.86,7.84,-8.21,4.41,시고저종,-0.07416563658838071,-5,SL_ONLY,-0.05
2025-10-14,로보스타,6018,4.61,8.59,-2.38,4.45,-0.04336283185840708,-0.0668693009118541,-5,NONE,0.044500000000000005
2025-07-01,다날,5718,8.84,8.84,-10.48,-8.3,0,-0.2,-5,NONE,-0.083
2025-11-03,필옵틱스,5661,7.03,15.43,-0.59,9.96,-0.04313099041533546,-0.07116788321167883,-5,TP_ONLY,0.13
2025-10-15,한라캐스트,5614,3.29,10.15,-1.19,5.39,0,-0.04336283185840708,10,NONE,0.053899999999999997
2025-10-31,현대오토에버,5606,2.95,20.39,2.95,10.81,시저고종,0,10,TP_ONLY,0.13
2025-06-04,코나아이,5463,6.1,27.12,1.53,20.0,시고저종,-0.04313099041533546,10,TP_FIRST,0.13
2025-11-26,노타,5152,1.99,8.76,-4.68,-0.8,-0.04751131221719457,0,-5,NONE,-0.008
2025-09-18,로보스타,5140,1.48,24.55,-5.45,9.77,-0.03686934023285899,-0.0683090705487122,-5,TP_ONLY,0.13
2025-05-15,로킷헬스케어,4971,3.96,10.49,-5.36,-1.17,-0.02111801242236025,손절,-5,NONE,-0.011699999999999999
2025-07-23,삼천당제약,4888,3.51,14.75,-1.64,4.45,-0.030927835051546393,-0.04751131221719457,10,TP_ONLY,0.13
2025-02-05,클로봇,4850,6.04,16.46,2.13,12.96,시고저종,-0.03686934023285899,10,TP_FIRST,0.13
2025-06-20,카카오페이,4804,1.13,24.87,-1.88,15.58,시고저종,-0.02111801242236025,10,TP_FIRST,0.13
2025-09-02,올릭스,4640,1.57,9.82,-1.57,6.81,-0.0110803324099723,-0.030927835051546393,10,NONE,0.0681
2025-10-20,휴림로봇,4463,7.02,18.73,0.17,5.85,-0.04275534441805225,-0.0640625,-5,TP_ONLY,0.13
2025-02-11,삼양엔씨켐,4415,-1.74,-1.22,-13.74,-12.0,-0.04130643611911623,손절,-5,NONE,-0.12
2025-10-15,하이젠알앤엠,4408,0.0,2.61,-7.97,-7.83,시저고종,손절,-5,SL_FIRST,-0.05
2025-10-10,클로봇,4336,-1.23,13.13,-2.33,7.66,-0.016725798276735936,-0.0110803324099723,10,TP_ONLY,0.13
