stk_cd,t1_dt,t1_open,entry,tp,sl,result,entry_tm,tp_tm,sl_tm,rows,data_quality
000040,20250723,610.0,591.6999999999999,633.1189999999999,568.0319999999999,SL_ONLY,20250723090200,,20250723090300,373,OK
000040,20250731,701.0,679.97,727.5679000000001,652.7712,TP_FIRST,20250731090000,20250731090000,20250731132700,379,OK
000050,20251215,12840.0,12454.8,13326.636,11956.607999999998,SL_ONLY,20251215141700,,20251215151500,377,OK
000145,20250610,14490.0,14055.3,15039.171,13493.087999999998,SL_ONLY,20250610093000,,20250610113000,15,LOW_ROWS
000230,20250708,9230.0,8953.1,9579.817000000001,8594.976,SL_ONLY,20250708090300,,20250708130600,378,OK
000230,20250930,12990.0,12600.3,13482.321,12096.287999999999,SL_ONLY,20250930090000,,20250930090600,381,OK
000230,20251106,11790.0,11436.3,12236.841,10978.847999999998,TP_ONLY,20251106095800,20251106125700,,378,OK
000250,20250724,218000.0,211460.0,226262.2,203001.6,TP_ONLY,20250724122600,20250724141700,,379,OK
000390,20251219,9500.0,9215.0,9860.050000000001,8846.4,SL_FIRST,20251219090200,20251219090500,20251219090300,380,OK
000440,20250616,24500.0,23765.0,25428.550000000003,22814.399999999998,SL_ONLY,20250616091500,,20250616091800,379,OK
000545,20250410,9060.0,8788.199999999999,9403.374,8436.671999999999,SL_FIRST,20250410090000,20250410090300,20250410090000,346,OK
000545,20250411,12930.0,12542.1,13420.047,12040.416,NO_ENTRY,,,,358,OK
000545,20250416,21850.0,21194.5,22678.115,20346.719999999998,SL_FIRST,20250416090000,20250416091600,20250416090000,369,OK
000545,20250418,19870.0,19273.899999999998,20623.073,18502.943999999996,SL_FIRST,20250418090200,20250418090300,20250418090200,371,OK
000545,20250519,11000.0,10670.0,11416.900000000001,10243.199999999999,TP_FIRST,20250519100300,20250519101800,20250519153000,377,OK
000545,20250718,10490.0,10175.3,10887.571,9768.287999999999,SL_ONLY,20250718111800,,20250718130100,378,OK
000650,20251120,63900.0,61983.0,66321.81,59503.68,NO_ENTRY,,,,74,LOW_ROWS
000650,20251121,83000.0,80510.0,86145.70000000001,77289.59999999999,NO_ENTRY,,,,137,LOW_ROWS
000650,20251124,107900.0,104663.0,111989.41,100476.48,NONE_AFTER_ENTRY,20251124090300,,,157,LOW_ROWS
000650,20251125,140200.0,135994.0,145513.58000000002,130554.23999999999,NO_ENTRY,,,,100,LOW_ROWS
000650,20251128,236500.0,229405.0,245463.35,220228.8,SL_ONLY,20251128090200,,20251128090200,363,OK
000650,20251203,380000.0,368600.0,394402.0,353856.0,TP_FIRST,20251203090200,20251203090500,20251203090600,191,LOW_ROWS
000650,20251204,490000.0,475300.0,508571.00000000006,456288.0,TP_FIRST,20251204090200,20251204090400,20251204090900,378,OK
000650,20251224,359500.0,348715.0,373125.05000000005,334766.39999999997,SL_FIRST,20251224090000,20251224090800,20251224090000,376,OK
000760,20251201,18190.0,17644.3,18879.401,16938.528,SL_FIRST,20251201090000,20251201090300,20251201090000,373,OK
000950,20250613,48050.0,46608.5,49871.095,44744.159999999996,SL_ONLY,20250613090300,,20250613090300,337,OK
001000,20250401,1508.0,1462.76,1565.1532,1404.2495999999999,SL_FIRST,20250401090300,20250401100000,20250401090700,376,OK
001260,20251208,10060.0,9758.199999999999,10441.274,9367.872,SL_ONLY,20251208090000,,20251208090000,380,OK
001270,20250710,65300.0,63341.0,67774.87000000001,60807.36,SL_FIRST,20250710090000,20250710100000,20250710090100,376,OK
001290,20250530,769.0,745.93,798.1451,716.0927999999999,SL_ONLY,20250530132100,,20250530140200,376,OK
001360,20251209,1999.0,1939.03,2074.7621,1861.4687999999999,TP_ONLY,20251209090200,20251209090500,,378,OK
001430,20251215,48950.0,47481.5,50805.205,45582.24,SL_FIRST,20251215090200,20251215105800,20251215092100,380,OK
001515,20251001,2500.0,2425.0,2594.75,2328.0,SL_ONLY,20251001140000,,20251001150000,15,LOW_ROWS
001520,20250929,905.0,877.85,939.2995000000001,842.736,NO_ENTRY,,,,379,OK
001520,20250930,1286.0,1247.42,1334.7394000000002,1197.5232,SL_ONLY,20250930090300,,20250930090300,374,OK
001520,20251015,1072.0,1039.84,1112.6288,998.2463999999999,NO_ENTRY,,,,380,OK
001525,20250430,5000.0,4850.0,5189.5,4656.0,SL_FIRST,20250430093000,20250430110000,20250430093000,15,LOW_ROWS
001525,20250507,5600.0,5432.0,5812.240000000001,5214.72,NONE_AFTER_ENTRY,20250507123000,,,15,LOW_ROWS
001525,20250929,6830.0,6625.099999999999,7088.857,6360.096,NO_ENTRY,,,,14,LOW_ROWS
001525,20250930,8870.0,8603.9,9206.173,8259.743999999999,SL_ONLY,20250930113000,,20250930113000,15,LOW_ROWS
001525,20251001,8430.0,8177.099999999999,8749.497,7850.016,NO_ENTRY,,,,15,LOW_ROWS
001525,20251015,7930.0,7692.099999999999,8230.547,7384.415999999999,SL_ONLY,20251015143000,,20251015143000,15,LOW_ROWS
001525,20251219,8400.0,8148.0,8718.36,7822.08,SL_ONLY,20251219110000,,20251219113000,15,LOW_ROWS
001527,20250430,8390.0,8138.3,8707.981000000002,7812.768,NO_ENTRY,,,,15,LOW_ROWS
