tp,sl,trades,tp_cnt,sl_cnt,ambig,none_after_entry,winrate,EV
0.05,0.015,214,157,53,3,1,0.7336448598130841,0.03309929246528328
0.05,0.01,214,152,58,3,1,0.7102803738317757,0.03293574106341412
0.05,0.005,214,146,65,3,0,0.6822429906542056,0.032593457943925236
0.05,0.02,214,158,53,2,1,0.7383177570093458,0.03209461956808702
0.07,0.005,214,99,114,1,0,0.46261682242990654,0.0297196261682243
0.07,0.01,214,104,109,0,1,0.48598130841121495,0.029057236390516928
0.07,0.015,214,108,104,0,2,0.5046728971962616,0.028116584824964364
0.07,0.02,214,108,104,0,2,0.5046728971962616,0.025686678282908285
0.03,0.005,214,179,31,4,0,0.8364485981308412,0.024369158878504674
0.03,0.01,214,183,28,3,0,0.8551401869158879,0.024345794392523365
0.03,0.015,214,185,28,1,0,0.8644859813084113,0.02397196261682243
0.03,0.02,214,186,28,0,0,0.8691588785046729,0.02345794392523364
0.1,0.005,214,51,162,1,0,0.2383177570093458,0.020046728971962618
0.1,0.01,214,54,158,1,1,0.2523364485981308,0.017982470035376737
0.1,0.015,214,60,152,0,2,0.2803738317757009,0.017462379217487726
0.1,0.02,214,61,151,0,2,0.2850467289719626,0.01447172501188025
0.12,0.005,214,30,183,1,0,0.14018691588785046,0.012546728971962616
0.12,0.01,214,34,179,0,1,0.1588785046728972,0.01083293732509636
0.12,0.015,214,37,175,0,2,0.17289719626168223,0.008560510058609219
0.12,0.02,214,39,173,0,2,0.1822429906542056,0.005780136226833516
