gap_bin,entry_k,AMBIGUOUS_SAME_MIN,AMBIG_NO_MINUTE,NONE_AFTER_ENTRY,SL,TP,TRADES,WINRATE,EV
0~3,0.95,13.0,7.0,0.0,19.0,22.0,61.0,0.36065573770491804,0.01278688524590164
0~3,0.96,14.0,11.0,0.0,23.0,14.0,62.0,0.22580645161290322,0.0009677419354838718
0~3,0.97,11.0,12.0,0.0,35.0,6.0,64.0,0.09375,-0.015312500000000001
10~15,0.95,2.0,9.0,0.0,35.0,29.0,75.0,0.38666666666666666,0.008400000000000001
10~15,0.96,2.0,12.0,0.0,44.0,18.0,76.0,0.23684210526315788,-0.00657894736842105
10~15,0.97,2.0,13.0,0.0,44.0,17.0,76.0,0.2236842105263158,-0.007499999999999998
15~20,0.95,3.0,13.0,0.0,17.0,19.0,52.0,0.36538461538461536,0.0125
15~20,0.96,5.0,13.0,0.0,20.0,14.0,52.0,0.2692307692307692,0.0034615384615384625
15~20,0.97,3.0,14.0,0.0,23.0,12.0,52.0,0.23076923076923078,-0.0015384615384615376
20~25,0.95,3.0,4.0,0.0,4.0,10.0,21.0,0.47619047619047616,0.025714285714285717
20~25,0.96,3.0,4.0,0.0,5.0,10.0,22.0,0.45454545454545453,0.022727272727272728
20~25,0.97,2.0,5.0,0.0,8.0,7.0,22.0,0.3181818181818182,0.007727272727272729
25+,0.95,0.0,1.0,3.0,11.0,0.0,15.0,0.0,-0.029333333333333333
25+,0.96,0.0,1.0,3.0,11.0,0.0,15.0,0.0,-0.029333333333333333
25+,0.97,0.0,1.0,3.0,11.0,0.0,15.0,0.0,-0.029333333333333333
3~7,0.95,9.0,18.0,0.0,50.0,20.0,97.0,0.20618556701030927,-0.006185567010309277
3~7,0.96,9.0,18.0,0.0,50.0,22.0,99.0,0.2222222222222222,-0.004646464646464646
3~7,0.97,7.0,18.0,0.0,49.0,25.0,99.0,0.25252525252525254,-0.002121212121212119
7~10,0.95,6.0,20.0,0.0,46.0,38.0,110.0,0.34545454545454546,0.007454545454545455
7~10,0.96,6.0,24.0,0.0,45.0,35.0,110.0,0.3181818181818182,0.005909090909090911
7~10,0.97,8.0,28.0,1.0,47.0,27.0,111.0,0.24324324324324326,9.009009009009017e-05
<0,0.95,10.0,9.0,3.0,32.0,28.0,82.0,0.34146341463414637,0.00829268292682927
<0,0.96,9.0,9.0,2.0,43.0,19.0,82.0,0.23170731707317074,-0.004756097560975609
<0,0.97,11.0,13.0,2.0,56.0,2.0,84.0,0.023809523809523808,-0.025
