gap_bin,dip_bin,trades,TP,SL,AMBIG,NONE,winrate_TP_over_TPSL,EV_fixed,avg_gap,avg_dip
"[-0.5, 0.0)","[0.0, 0.01)",12.0,7.0,3.0,2.0,0.0,0.7,0.02541666666666667,-0.25724240304069407,0.003376663676361869
"[-0.5, 0.0)","[0.01, 0.02)",7.0,4.0,2.0,1.0,0.0,0.6666666666666666,0.02428571428571429,-0.27971509411891293,0.014895534244017865
"[-0.5, 0.0)","[0.02, 0.03)",5.0,3.0,1.0,1.0,0.0,0.75,0.027000000000000003,-0.31673967884977394,0.024799272564184148
"[0.0, 0.03)","[0.0, 0.01)",3.0,2.0,1.0,0.0,0.0,0.6666666666666666,0.028333333333333335,0.012829471954554956,0.005763455990335985
"[0.03, 0.07)","[0.01, 0.02)",1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.06318207926479034,0.014046461372231226
"[0.07, 0.1)","[0.0, 0.01)",2.0,1.0,1.0,0.0,0.0,0.5,0.0175,0.09423346258088779,0.0047165979722615
"[0.1, 0.15)","[0.01, 0.02)",1.0,1.0,0.0,0.0,0.0,1.0,0.05,0.11425819973942106,0.01626842907981698
"[0.2, 0.25)","[0.0, 0.01)",1.0,0.0,1.0,0.0,0.0,0.0,-0.015,0.22840690978886757,0.00625
"[0.25, 0.8)","[0.0, 0.01)",4.0,2.0,1.0,1.0,0.0,0.6666666666666666,0.02125,0.3398877969798541,0.003872783970749852
"[0.25, 0.8)","[0.01, 0.02)",5.0,2.0,2.0,1.0,0.0,0.5,0.014000000000000002,0.42447647856549475,0.014169612821918424
nan,"[0.0, 0.01)",65.0,32.0,29.0,4.0,0.0,0.5245901639344263,0.017923076923076924,0.4703041441273745,0.004686813776765758
nan,"[0.01, 0.02)",42.0,21.0,18.0,3.0,0.0,0.5384615384615384,0.018571428571428572,-0.46356572285631514,0.014671558082399394
nan,"[0.02, 0.03)",47.0,33.0,14.0,0.0,0.0,0.7021276595744681,0.030638297872340427,-0.38159498526835167,0.024985454934954226
