gap_bin,entry_k,tp,sl,entered_trades,tp_cnt,sl_cnt,winrate,EV,ambig_same_min,none_after_entry,no_entry,no_minute_skipped
<0,0.94,0.05,0.03,66,22,26,0.3333333333333333,0.003162553507888481,2,16,12,14
<0,0.94,0.05,0.04,66,27,19,0.4090909090909091,0.006778885836681271,1,19,12,14
<0,0.94,0.05,0.05,66,30,16,0.45454545454545453,0.00771125921586316,0,20,12,14
<0,0.94,0.05,0.06,66,32,11,0.48484848484848486,0.009598977026759645,0,23,12,14
<0,0.94,0.06,0.03,66,17,30,0.25757575757575757,0.00042961916653780173,2,17,12,14
<0,0.94,0.06,0.04,66,23,21,0.3484848484848485,0.005796742075908405,1,21,12,14
<0,0.94,0.06,0.05,66,26,18,0.3939393939393939,0.006880630606605446,0,22,12,14
<0,0.94,0.06,0.06,66,28,12,0.42424242424242425,0.008990995485291064,0,26,12,14
<0,0.94,0.07,0.03,66,15,34,0.22727272727272727,-0.0009340171970985598,0,17,12,14
<0,0.94,0.07,0.04,66,21,24,0.3181818181818182,0.005342196621362954,0,21,12,14
<0,0.94,0.07,0.05,66,24,20,0.36363636363636365,0.007183660909635752,0,22,12,14
<0,0.94,0.07,0.06,66,26,14,0.3939393939393939,0.009294025788321371,0,26,12,14
<0,0.94,0.08,0.03,66,15,34,0.22727272727272727,0.001338710075628712,0,17,12,14
<0,0.94,0.08,0.04,66,21,24,0.3181818181818182,0.008524014803181133,0,21,12,14
<0,0.94,0.08,0.05,66,23,20,0.3484848484848485,0.010100385481874946,0,23,12,14
<0,0.94,0.08,0.06,66,25,14,0.3787878787878788,0.012513780663590868,0,27,12,14
<0,0.94,0.09,0.03,66,15,34,0.22727272727272727,0.0036114373483559837,0,17,12,14
<0,0.94,0.09,0.04,66,21,24,0.3181818181818182,0.011705832984999314,0,21,12,14
<0,0.94,0.09,0.05,66,23,20,0.3484848484848485,0.013585233966723429,0,23,12,14
<0,0.94,0.09,0.06,66,25,14,0.3787878787878788,0.016301659451469656,0,27,12,14
<0,0.94,0.1,0.03,66,14,35,0.21212121212121213,0.003914467651386288,0,17,12,14
<0,0.94,0.1,0.04,66,19,25,0.2878787878787879,0.012330167998246896,0,22,12,14
<0,0.94,0.1,0.05,66,21,21,0.3181818181818182,0.014361084131486164,0,24,12,14
<0,0.94,0.1,0.06,66,23,15,0.3484848484848485,0.01722902476774754,0,28,12,14
<0,0.95,0.05,0.03,67,19,35,0.2835820895522388,-0.0024462416632222354,5,8,11,14
<0,0.95,0.05,0.04,67,24,26,0.3582089552238806,-0.0005089733316345916,2,15,11,14
<0,0.95,0.05,0.05,67,29,18,0.43283582089552236,0.0034683325938513992,1,19,11,14
<0,0.95,0.05,0.06,67,32,15,0.47761194029850745,0.004834309725735838,0,20,11,14
<0,0.95,0.06,0.03,67,15,41,0.22388059701492538,-0.0056546357828496634,2,9,11,14
<0,0.95,0.06,0.04,67,19,32,0.2835820895522388,-0.004762143570665005,0,16,11,14
<0,0.95,0.06,0.05,67,24,23,0.3582089552238806,-0.00018782271980588043,0,20,11,14
<0,0.95,0.06,0.06,67,27,19,0.40298507462686567,0.001775169337451693,0,21,11,14
<0,0.95,0.07,0.03,67,14,43,0.208955223880597,-0.005356128320163094,1,9,11,14
<0,0.95,0.07,0.04,67,18,33,0.26865671641791045,-0.003568113719918734,0,16,11,14
