filter,entry_k,tp,sl,entered_trades,tp_cnt,sl_cnt,winrate,EV,ambig_same_min,none_after_entry,no_entry,no_minute_skipped
NO_FILTER,0.94,0.05,0.03,382,153,162,0.4005235602094241,0.007016286278288337,37,30,66,112
NO_FILTER,0.94,0.05,0.04,382,177,132,0.46335078534031415,0.008593158630280222,24,49,66,112
NO_FILTER,0.94,0.05,0.05,382,215,106,0.56282722513089,0.012585717520035115,1,60,66,112
NO_FILTER,0.94,0.05,0.06,382,223,90,0.5837696335078534,0.012578644110176415,1,68,66,112
NO_FILTER,0.94,0.06,0.03,382,139,176,0.36387434554973824,0.007774470397321988,36,31,66,112
NO_FILTER,0.94,0.06,0.04,382,162,144,0.42408376963350786,0.009499858680385224,23,53,66,112
NO_FILTER,0.94,0.06,0.05,382,199,116,0.5209424083769634,0.01421729408654222,1,66,66,112
NO_FILTER,0.94,0.06,0.06,382,207,97,0.5418848167539267,0.014343945826985994,1,77,66,112
NO_FILTER,0.94,0.07,0.03,382,122,208,0.3193717277486911,0.005952035285369223,20,32,66,112
NO_FILTER,0.94,0.07,0.04,382,143,170,0.3743455497382199,0.007703601578903662,15,54,66,112
NO_FILTER,0.94,0.07,0.05,382,178,134,0.46596858638743455,0.013171130459951915,1,69,66,112
NO_FILTER,0.94,0.07,0.06,382,185,116,0.48429319371727747,0.012695687959557993,1,80,66,112
NO_FILTER,0.94,0.08,0.03,382,104,228,0.27225130890052357,0.003933199575086777,16,34,66,112
NO_FILTER,0.94,0.08,0.04,382,126,188,0.3298429319371728,0.006086704996076916,11,57,66,112
NO_FILTER,0.94,0.08,0.05,382,162,145,0.42408376963350786,0.013186072014153874,0,75,66,112
NO_FILTER,0.94,0.08,0.06,382,169,127,0.4424083769633508,0.012605917471875136,0,86,66,112
NO_FILTER,0.94,0.09,0.03,382,95,240,0.2486910994764398,0.0037156739793724755,12,35,66,112
NO_FILTER,0.94,0.09,0.04,382,118,198,0.3089005235602094,0.006575985683085127,8,58,66,112
NO_FILTER,0.94,0.09,0.05,382,152,154,0.39790575916230364,0.01401566683728774,0,76,66,112
NO_FILTER,0.94,0.09,0.06,382,158,136,0.41361256544502617,0.013185546783440435,0,88,66,112
NO_FILTER,0.94,0.1,0.03,382,89,248,0.23298429319371727,0.0040036320945557235,10,35,66,112
NO_FILTER,0.94,0.1,0.04,382,108,207,0.28272251308900526,0.00639286161974541,7,60,66,112
NO_FILTER,0.94,0.1,0.05,382,141,163,0.36910994764397903,0.014225212931016086,0,78,66,112
NO_FILTER,0.94,0.1,0.06,382,147,144,0.38481675392670156,0.013417458989535643,0,91,66,112
NO_FILTER,0.95,0.05,0.03,386,158,168,0.40932642487046633,0.0072465866191421865,49,11,62,112
NO_FILTER,0.95,0.05,0.04,386,185,141,0.4792746113989637,0.008540566027361635,34,26,62,112
NO_FILTER,0.95,0.05,0.05,386,205,115,0.5310880829015544,0.009698975207984207,22,44,62,112
NO_FILTER,0.95,0.05,0.06,386,236,92,0.6113989637305699,0.012996410099661931,1,57,62,112
NO_FILTER,0.95,0.06,0.03,386,133,211,0.344559585492228,0.004423531572198401,28,14,62,112
NO_FILTER,0.95,0.06,0.04,386,158,181,0.40932642487046633,0.005303003208397123,18,29,62,112
NO_FILTER,0.95,0.06,0.05,386,178,146,0.46113989637305697,0.007104767969832852,14,48,62,112
NO_FILTER,0.95,0.06,0.06,386,207,116,0.5362694300518135,0.011045547923267713,1,62,62,112
NO_FILTER,0.95,0.07,0.03,386,106,242,0.27461139896373055,0.00063399372968894,22,16,62,112
NO_FILTER,0.95,0.07,0.04,386,133,206,0.344559585492228,0.0023424809099291143,16,31,62,112
NO_FILTER,0.95,0.07,0.05,386,155,169,0.4015544041450777,0.004567011697780967,11,51,62,112
NO_FILTER,0.95,0.07,0.06,386,187,131,0.4844559585492228,0.01042887274814593,0,68,62,112
NO_FILTER,0.95,0.08,0.03,386,93,259,0.24093264248704663,-0.0005424695670361525,17,17,62,112
NO_FILTER,0.95,0.08,0.04,386,120,222,0.31088082901554404,0.001528711913722156,12,32,62,112
NO_FILTER,0.95,0.08,0.05,386,143,181,0.3704663212435233,0.004727921349658039,8,54,62,112
NO_FILTER,0.95,0.08,0.06,386,173,142,0.4481865284974093,0.010848849757535955,0,71,62,112
NO_FILTER,0.95,0.09,0.03,386,83,274,0.21502590673575128,-0.0016305524685905576,12,17,62,112
NO_FILTER,0.95,0.09,0.04,386,109,235,0.2823834196891192,0.000725603105431999,10,32,62,112
NO_FILTER,0.95,0.09,0.05,386,129,194,0.33419689119170987,0.003502584009251231,7,56,62,112
