stk_cd,t1_dt,tried
000040,20240222,000040|000040_NX|000040_AL
000155,20230912,000155|000155_NX|000155_AL
000157,20230912,000157|000157_NX|000157_AL
000225,20231122,000225|000225_NX|000225_AL
000225,20231208,000225|000225_NX|000225_AL
000225,20241204,000225|000225_NX|000225_AL
000227,20231121,000227|000227_NX|000227_AL
000227,20231122,000227|000227_NX|000227_AL
000227,20231208,000227|000227_NX|000227_AL
000227,20240108,000227|000227_NX|000227_AL
000227,20241204,000227|000227_NX|000227_AL
000230,20230907,000230|000230_NX|000230_AL
000240,20231206,000240|000240_NX|000240_AL
000250,20230825,000250|000250_NX|000250_AL
000250,20240326,000250|000250_NX|000250_AL
000250,20241224,000250|000250_NX|000250_AL
000300,20231222,000300|000300_NX|000300_AL
000300,20240131,000300|000300_NX|000300_AL
000325,20230829,000325|000325_NX|000325_AL
000325,20230914,000325|000325_NX|000325_AL
000390,20240320,000390|000390_NX|000390_AL
000390,20240520,000390|000390_NX|000390_AL
000400,20230919,000400|000400_NX|000400_AL
000400,20230920,000400|000400_NX|000400_AL
000400,20240214,000400|000400_NX|000400_AL
000430,20230705,000430|000430_NX|000430_AL
000440,20231011,000440|000440_NX|000440_AL
000440,20231019,000440|000440_NX|000440_AL
000440,20240408,000440|000440_NX|000440_AL
000440,20241007,000440|000440_NX|000440_AL
000480,20231110,000480|000480_NX|000480_AL
000490,20230905,000490|000490_NX|000490_AL
000490,20231222,000490|000490_NX|000490_AL
000500,20241120,000500|000500_NX|000500_AL
000540,20240202,000540|000540_NX|000540_AL
000540,20240214,000540|000540_NX|000540_AL
000545,20231204,000545|000545_NX|000545_AL
000545,20240202,000545|000545_NX|000545_AL
000545,20240214,000545|000545_NX|000545_AL
000545,20240328,000545|000545_NX|000545_AL
000650,20240201,000650|000650_NX|000650_AL
000670,20240919,000670|000670_NX|000670_AL
000670,20240920,000670|000670_NX|000670_AL
000680,20230726,000680|000680_NX|000680_AL
000680,20230727,000680|000680_NX|000680_AL
000680,20230728,000680|000680_NX|000680_AL
000680,20231016,000680|000680_NX|000680_AL
000680,20231017,000680|000680_NX|000680_AL
000680,20240318,000680|000680_NX|000680_AL
000680,20250120,000680|000680_NX|000680_AL
000725,20230526,000725|000725_NX|000725_AL
000760,20230419,000760|000760_NX|000760_AL
000760,20230420,000760|000760_NX|000760_AL
000760,20230421,000760|000760_NX|000760_AL
000760,20230508,000760|000760_NX|000760_AL
000850,20240925,000850|000850_NX|000850_AL
000910,20230220,000910|000910_NX|000910_AL
000910,20230407,000910|000910_NX|000910_AL
001000,20230421,001000|001000_NX|001000_AL
001000,20240905,001000|001000_NX|001000_AL
001080,20230804,001080|001080_NX|001080_AL
001210,20230703,001210|001210_NX|001210_AL
001210,20240227,001210|001210_NX|001210_AL
001230,20230619,001230|001230_NX|001230_AL
001230,20230620,001230|001230_NX|001230_AL
001250,20240624,001250|001250_NX|001250_AL
001260,20241113,001260|001260_NX|001260_AL
001360,20230530,001360|001360_NX|001360_AL
001380,20241118,001380|001380_NX|001380_AL
001380,20241213,001380|001380_NX|001380_AL
001390,20230308,001390|001390_NX|001390_AL
001430,20230228,001430|001430_NX|001430_AL
001470,20230523,001470|001470_NX|001470_AL
001470,20230524,001470|001470_NX|001470_AL
001470,20230620,001470|001470_NX|001470_AL
001470,20241107,001470|001470_NX|001470_AL
001470,20241111,001470|001470_NX|001470_AL
001470,20241112,001470|001470_NX|001470_AL
001470,20241122,001470|001470_NX|001470_AL
001470,20241211,001470|001470_NX|001470_AL
001515,20231205,001515|001515_NX|001515_AL
001515,20240905,001515|001515_NX|001515_AL
001525,20231123,001525|001525_NX|001525_AL
001527,20231123,001527|001527_NX|001527_AL
001570,20231107,001570|001570_NX|001570_AL
001685,20231207,001685|001685_NX|001685_AL
001685,20231214,001685|001685_NX|001685_AL
001685,20231215,001685|001685_NX|001685_AL
001685,20240102,001685|001685_NX|001685_AL
001685,20240124,001685|001685_NX|001685_AL
001755,20240806,001755|001755_NX|001755_AL
001755,20240807,001755|001755_NX|001755_AL
001755,20240808,001755|001755_NX|001755_AL
001790,20230509,001790|001790_NX|001790_AL
001795,20230509,001795|001795_NX|001795_AL
001795,20230510,001795|001795_NX|001795_AL
001795,20231212,001795|001795_NX|001795_AL
001840,20240731,001840|001840_NX|001840_AL
001840,20241113,001840|001840_NX|001840_AL
002070,20230623,002070|002070_NX|002070_AL
002100,20231108,002100|002100_NX|002100_AL
002140,20241016,002140|002140_NX|002140_AL
002240,20230803,002240|002240_NX|002240_AL
002240,20240208,002240|002240_NX|002240_AL
002410,20241112,002410|002410_NX|002410_AL
002410,20241113,002410|002410_NX|002410_AL
002410,20241115,002410|002410_NX|002410_AL
002410,20241122,002410|002410_NX|002410_AL
002410,20241211,002410|002410_NX|002410_AL
002410,20241212,002410|002410_NX|002410_AL
002420,20240409,002420|002420_NX|002420_AL
002420,20240823,002420|002420_NX|002420_AL
002620,20231124,002620|002620_NX|002620_AL
002630,20241205,002630|002630_NX|002630_AL
002630,20241210,002630|002630_NX|002630_AL
002630,20241211,002630|002630_NX|002630_AL
002630,20241223,002630|002630_NX|002630_AL
002630,20250102,002630|002630_NX|002630_AL
002680,20230525,002680|002680_NX|002680_AL
002680,20241016,002680|002680_NX|002680_AL
002720,20231026,002720|002720_NX|002720_AL
002720,20240321,002720|002720_NX|002720_AL
002760,20241010,002760|002760_NX|002760_AL
002800,20230922,002800|002800_NX|002800_AL
002800,20231025,002800|002800_NX|002800_AL
002800,20240717,002800|002800_NX|002800_AL
002820,20240117,002820|002820_NX|002820_AL
002880,20231005,002880|002880_NX|002880_AL
002900,20241113,002900|002900_NX|002900_AL
002990,20230106,002990|002990_NX|002990_AL
002995,20230106,002995|002995_NX|002995_AL
002995,20240619,002995|002995_NX|002995_AL
002995,20240620,002995|002995_NX|002995_AL
002995,20241122,002995|002995_NX|002995_AL
002995,20241128,002995|002995_NX|002995_AL
002995,20241202,002995|002995_NX|002995_AL
002995,20241203,002995|002995_NX|002995_AL
002995,20241216,002995|002995_NX|002995_AL
003010,20230113,003010|003010_NX|003010_AL
003060,20230810,003060|003060_NX|003060_AL
003060,20230811,003060|003060_NX|003060_AL
003060,20240708,003060|003060_NX|003060_AL
003070,20231024,003070|003070_NX|003070_AL
003070,20240613,003070|003070_NX|003070_AL
003070,20240621,003070|003070_NX|003070_AL
003075,20230406,003075|003075_NX|003075_AL
003075,20230904,003075|003075_NX|003075_AL
003075,20231204,003075|003075_NX|003075_AL
003075,20240613,003075|003075_NX|003075_AL
003075,20240614,003075|003075_NX|003075_AL
003075,20240617,003075|003075_NX|003075_AL
003075,20240621,003075|003075_NX|003075_AL
003075,20240827,003075|003075_NX|003075_AL
003075,20240828,003075|003075_NX|003075_AL
003075,20241220,003075|003075_NX|003075_AL
003120,20230303,003120|003120_NX|003120_AL
003230,20230816,003230|003230_NX|003230_AL
003230,20240520,003230|003230_NX|003230_AL
003280,20230621,003280|003280_NX|003280_AL
003280,20231019,003280|003280_NX|003280_AL
003280,20231123,003280|003280_NX|003280_AL
003280,20240105,003280|003280_NX|003280_AL
003280,20240115,003280|003280_NX|003280_AL
003350,20230811,003350|003350_NX|003350_AL
003350,20240517,003350|003350_NX|003350_AL
003530,20240112,003530|003530_NX|003530_AL
003535,20231205,003535|003535_NX|003535_AL
003535,20231206,003535|003535_NX|003535_AL
003535,20231207,003535|003535_NX|003535_AL
003535,20240112,003535|003535_NX|003535_AL
003670,20231107,003670|003670_NX|003670_AL
003720,20230508,003720|003720_NX|003720_AL
003960,20240617,003960|003960_NX|003960_AL
003960,20240709,003960|003960_NX|003960_AL
004060,20231130,004060|004060_NX|004060_AL
004090,20231011,004090|004090_NX|004090_AL
004090,20231031,004090|004090_NX|004090_AL
004090,20240604,004090|004090_NX|004090_AL
004090,20240605,004090|004090_NX|004090_AL
004090,20250204,004090|004090_NX|004090_AL
004100,20231201,004100|004100_NX|004100_AL
004100,20240711,004100|004100_NX|004100_AL
004100,20241205,004100|004100_NX|004100_AL
004105,20230118,004105|004105_NX|004105_AL
004105,20230213,004105|004105_NX|004105_AL
004105,20230828,004105|004105_NX|004105_AL
004105,20231201,004105|004105_NX|004105_AL
004105,20231204,004105|004105_NX|004105_AL
004105,20231205,004105|004105_NX|004105_AL
004105,20240711,004105|004105_NX|004105_AL
004105,20241205,004105|004105_NX|004105_AL
004140,20240116,004140|004140_NX|004140_AL
004270,20230626,004270|004270_NX|004270_AL
004270,20230927,004270|004270_NX|004270_AL
004310,20240724,004310|004310_NX|004310_AL
004440,20250207,004440|004440_NX|004440_AL
004440,20250214,004440|004440_NX|004440_AL
004540,20231127,004540|004540_NX|004540_AL
004540,20240621,004540|004540_NX|004540_AL
004540,20241202,004540|004540_NX|004540_AL
004540,20241212,004540|004540_NX|004540_AL
004545,20231127,004545|004545_NX|004545_AL
004545,20231201,004545|004545_NX|004545_AL
004545,20240119,004545|004545_NX|004545_AL
004545,20240621,004545|004545_NX|004545_AL
004545,20241202,004545|004545_NX|004545_AL
004560,20230407,004560|004560_NX|004560_AL
004560,20231030,004560|004560_NX|004560_AL
004560,20240103,004560|004560_NX|004560_AL
004770,20241210,004770|004770_NX|004770_AL
004830,20230802,004830|004830_NX|004830_AL
004830,20230803,004830|004830_NX|004830_AL
004830,20230804,004830|004830_NX|004830_AL
004830,20230816,004830|004830_NX|004830_AL
004830,20231123,004830|004830_NX|004830_AL
004830,20240215,004830|004830_NX|004830_AL
